892420643555336193,7009,33807,None,en
892177421306343426,5301,29330,None,en
891815181378084864,3481,22052,None,en
891689557279858688,7225,36938,None,en
891327558926688256,7760,35308,None,en
891087950875897856,2602,17812,None,en
890971913173991426,1663,10363,None,en
890729181411237888,15753,56865,None,en
890609185150312448,3620,24525,None,en
890240255349198849,6098,27963,None,en
890006608113172480,6152,27037,None,en
889880896479866881,4166,24569,None,en
889665388333682689,8349,42050,None,en
889638837579907072,3715,23678,None,en
889531135344209921,1881,13353,None,en
889278841981685760,4443,22120,None,en
